BF_mean,BF_95,BF_tot,WMA_mean,WMA_95,WMA_tot,RZ_mean,RZ_95,RZ_tot,O_mean,O_95,O_tot,PO_mean,PO_95,PO_tot,RP_mean,RP_95,RP_tot,R_mean,R_95,R_tot
239.30793473219282,352.5688028284597,2341.1309865420535,120.63298813582198,187.93900900913465,1474.8225990726073,204.146950086583,335.74306031712484,2088.1330185390398,102.91822133427581,172.2925589494988,1293.8905164407495,136.53236899610798,239.23023149131288,1675.217543634576,128.8793086399408,237.44648613802875,1506.3140051352825,126.05102437925262,211.7096013715701,1679.7195647888627
232.16469877354484,363.7072158532845,2312.4109631030406,114.3808415021619,176.13837935727744,1528.9213238989219,213.61834674448477,376.01075355966384,2212.988924429852,114.45680647902223,187.16383405819496,1492.088597281607,132.98912920171122,214.36399693530853,1685.325867664082,129.34704461386448,210.62722264020803,1521.7460568343338,132.7524426724207,217.72362954057417,1685.8912747447318
231.21882997356008,373.21995158637105,2225.2484912636173,116.67478875621127,175.16905753827984,1545.4837731383927,206.67460789606918,376.91401307344404,2206.2781881591777,108.56940732954824,173.97797120501798,1471.2669842435628,132.68648043681438,222.7412125660429,1671.2108636049027,131.9569384374348,224.99558003763806,1574.523977855534,133.82122942192257,220.14160325054988,1579.180107803971
233.25933819920132,399.22112422219965,2248.077773300518,114.20722650921871,182.98371459915717,1473.7366556080365,202.98374414766667,339.5191876949212,2145.793948360219,112.32553210162865,167.95065276246916,1444.9814222049627,135.45804920076455,212.78092767831697,1736.4138139689562,126.86992375048665,215.06853169193099,1525.0786050275412,125.10170458527074,199.83646889033952,1666.2539563768848
239.76238887747388,404.18338506623985,2291.9676872332825,119.7871864032203,204.15466945552697,1458.4244609615141,214.05822213125285,353.5540122135549,2227.4715654723896,109.96209503712458,170.91433202513602,1438.3388029225393,127.4198840766465,192.00869181763676,1618.301506231023,138.13086568624942,219.9991484984879,1580.326290813311,133.9293154359223,216.57581902117127,1735.7895043904603
250.12436675433503,395.7853331086801,2398.7675160182707,115.37131083960831,190.6192985061474,1451.453922616601,229.9047773448479,380.78055306662145,2321.0814445203287,115.99401156126291,184.7893269978882,1510.6985264447187,135.35204737415376,220.50519620991906,1699.6891818933336,131.9223490899421,220.4236609021475,1530.921080107433,132.52761651943027,215.33426729015608,1696.4948101737248
262.2782415496746,470.57717623096266,2417.8016375901743,111.48900995672064,177.18711656973713,1420.6014647673753,214.4186708156366,351.4165083282588,2265.091095052761,102.33529430024477,158.5638505048486,1335.4765234264426,131.51519968738302,212.27037570699304,1595.5814344267635,136.21318723830186,228.7296011050041,1613.9521888387608,134.66075285500193,211.26933298284163,1707.4960802986775
268.07763433244577,477.5374609346851,2542.337972393308,123.08730604236116,197.74724393357516,1569.9590968508342,191.24928922402847,302.1639729494931,2059.471729483536,119.07676947566567,186.95891174358994,1535.5753879861363,137.58199674687248,223.86954508630282,1629.2967026568851,129.84735559808072,252.9452066592274,1508.6082359493398,132.91747884761415,215.49979255002938,1728.7861402323601
244.21968579683454,397.16518540223933,2311.284517223069,116.37721050339285,178.70160016559012,1490.5787675871472,208.0672902089126,367.9346237236844,2190.957623150785,116.80250344658005,184.41273765049738,1459.140835917953,131.80551343473607,210.7960864039443,1597.1204230801527,135.66399022622187,224.53754652025015,1551.8044495708034,140.60832834142147,224.61649058954663,1788.729428217263
261.8678927669601,458.6329814193641,2427.8695959225165,118.51356117764523,184.68464736855663,1522.8096050218876,211.00976019854795,339.32929213548726,2307.5498259247165,112.80660409558101,176.5279615101228,1450.4784915681607,133.64724224919698,216.79994970850402,1630.586197807317,133.89044684858382,222.57952543351965,1508.5076877487804,141.49237118103247,221.52227274187155,1780.503725775457
251.08237268064903,404.3382918418873,2380.6022919929123,124.46651377978135,208.54172257444625,1449.3209973918676,209.7034895994252,348.7224163575415,2203.886257576738,109.28770199283649,181.41788784782779,1367.109899158438,128.30506484407704,199.77024805721297,1636.017390122708,134.23302284867952,236.59867813145522,1610.119981403163,147.472529009029,244.26431428271093,1803.130580580207
252.40326470284134,414.8579506216659,2345.5735237797257,114.12186610747895,181.50035629914774,1386.3704721064596,201.36033262420668,346.4158113546609,2053.4076637742533,115.74946465067949,182.8343533394289,1414.037806103971,140.77210701694963,240.92588674369478,1657.0154343380052,136.73697550266002,229.43949169953552,1520.2754055873415,136.48331945366547,223.83807565719,1687.8406533691143
248.87050641671647,392.2350538872819,2449.2595246715905,120.63864700305287,183.69665030600626,1565.4860860799856,213.30786394902188,333.6552143162446,2187.2695362924587,114.98136717802677,184.72070455034716,1477.6465171253856,132.7630471709931,213.9170007303456,1619.5201510533518,139.96765588816368,254.51398639029117,1551.3766939157817,127.06318729377966,200.38440230832393,1594.0812409577852
